"url","type","action","status_note"
"https://winch-elsuez.com/","core","keep","core/hub"
"https://winch-elsuez.com/about/","core","keep","core/hub"
"https://winch-elsuez.com/services/","core","keep","core/hub"
"https://winch-elsuez.com/areas/","core","keep","core/hub"
"https://winch-elsuez.com/articles/","articles","keep","core/hub"
"https://winch-elsuez.com/contact/","core","keep","core/hub"
"https://winch-elsuez.com/call/","core","keep","core/hub"
"https://winch-elsuez.com/articles/quick-action-guide-highway-breakdown/","articles","keep","real guide"
"https://winch-elsuez.com/articles/how-to-choose-safe-tow-truck/","articles","keep","real guide"
"https://winch-elsuez.com/articles/engine-overheating-mountain-descent-tips/","articles","keep","real guide"
"https://winch-elsuez.com/articles/safe-car-battery-jump-start/","articles","keep","real guide"
"https://winch-elsuez.com/articles/coastal-desert-tire-repair-guide/","articles","keep","real guide"
"https://winch-elsuez.com/articles/customs-unplated-car-transport-protocol/","articles","keep","real guide"
"https://winch-elsuez.com/articles/winch-cars-suez-2/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-ain-sokhna-2/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/car-rescue-winch-enqaz/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-rescue-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-ain-sokhna-road-2/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-enqaz-info/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-car-transport-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-car-transport-ain-sokhna/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/highway-car-rescue-winch/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-accident-cars-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-suez-3/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-porto-sokhna/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-attaka-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-galala-ain-sokhna/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-faisal-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-zaafarana-ain-sokhna/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-new-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-suez-Industrial Zone/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-suez-Adabeya/","articles","410","typo/junk/broken"
"https://winch-elsuez.com/articles/winch-cars-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-hay-el-arbaeen/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-hay-faisal-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-hay-suez/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-ataqa/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-el-ganayen/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-ain-sokhna/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-ain-sokhna-road/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-zaafarana/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-galala/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-katameya-ain-sokhna-road/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-galala-road/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-galala-city/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-galala-university/","articles","noindex-then-410","doorway/thin duplicate"
"https://winch-elsuez.com/articles/winch-cars-adabiya/","articles","noindex-then-410","doorway/thin duplicate"
